09:52:55:0455 ,crawler, Connecting to database
09:52:56:0456 ,crawler, Generating next test ID
09:52:56:0456 ,crawler, Next ID generated is 18
09:52:56:0456 ,crawler, Successfully executed query: INSERT into tests(id,status,numUrlsFound,type,num_requests_sent,start_timestamp,finish_timestamp,scan_finished,url,username,urls_found) VALUES(18,'Creating profile for new crawl...',0,'crawl',0,1461808376,1461808376,0,'10.10.10.10','root','') 
09:52:56:0456 ,crawler, Calling AJAX function beginCrawl()
09:52:57:0457 ,begin_crawl, Connecting to database
09:52:58:0458 ,begin_crawl, Instantiating crawler
09:52:58:0458 ,begin_crawl, 扫描url: 10.10.10.10
09:52:58:0458 ,begin_crawl, 开始爬取
10:01:07:0407 ,begin_crawl, 除了例外，所有的URL都已找到!:
10:01:07:0407 ,begin_crawl, http://10.10.10.10/
10:01:07:0407 ,begin_crawl, http://10.10.10.10/index.php?controller=default&action=index
10:01:07:0407 ,begin_crawl, http://10.10.10.10/index.php?controller=board&action=Index
10:01:07:0407 ,begin_crawl, http://10.10.10.10/index.php?controller=board&action=Content&board_id=12
10:01:07:0407 ,begin_crawl, http://10.10.10.10/index.php?controller=board&action=Content&board_id=11
10:01:07:0407 ,begin_crawl, http://10.10.10.10/index.php?controller=board&action=Content&board_id=10
10:01:07:0407 ,begin_crawl, http://10.10.10.10/index.php?controller=board&action=Content&board_id=7
10:01:07:0407 ,begin_crawl, http://10.10.10.10/index.php?controller=board&action=Content&board_id=6
10:01:07:0407 ,begin_crawl, http://10.10.10.10/index.php?controller=vodtwo&action=index&list=13
10:01:07:0407 ,begin_crawl, http://10.10.10.10/index.php?controller=play&action=index&movie_id=12089
10:01:07:0407 ,begin_crawl, http://10.10.10.10/index.php?controller=play&action=index&movie_id=12091
10:01:07:0407 ,begin_crawl, http://10.10.10.10/index.php?controller=play&action=index&movie_id=12104
10:01:07:0407 ,begin_crawl, http://10.10.10.10/index.php?controller=play&action=index&movie_id=12095
10:01:07:0407 ,begin_crawl, http://10.10.10.10/index.php?controller=play&action=index&movie_id=12096
10:01:07:0407 ,begin_crawl, http://10.10.10.10/index.php?controller=play&action=index&movie_id=12097
10:01:07:0407 ,begin_crawl, http://10.10.10.10/index.php?controller=play&action=index&movie_id=12093
10:01:07:0407 ,begin_crawl, http://10.10.10.10/index.php?controller=play&action=index&movie_id=12094
10:01:07:0407 ,begin_crawl, http://10.10.10.10/index.php?controller=play&action=index&movie_id=12098
10:01:07:0407 ,begin_crawl, http://10.10.10.10/index.php?controller=play&action=index&movie_id=12083
10:01:07:0407 ,begin_crawl, http://10.10.10.10/index.php?controller=play&action=index&movie_id=12084
10:01:07:0407 ,begin_crawl, http://10.10.10.10/index.php?controller=play&action=index&movie_id=12085
10:01:07:0407 ,begin_crawl, http://10.10.10.10/index.php?controller=play&action=index&movie_id=12086
10:01:07:0407 ,begin_crawl, http://10.10.10.10/index.php?controller=play&action=index&movie_id=12087
